# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
#
#
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 380:         5.762       50.906     114.30  MAASTRICHT
#
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag);
# FHX      = Hoogste uurgemiddelde windsnelheid (in 0.1 m/s);
# TX       = Maximum temperatuur (in 0.1 graden Celsius);
# DR       = Duur van de neerslag (in 0.1 uur);
#
# STN,YYYYMMDD,  FHX,   TX,   DR
#
  240,20171101,   70,  139,    0
  240,20171102,   60,  149,    0
  240,20171103,   40,  136,    0
  240,20171104,   70,  133,   47
  240,20171105,   70,  107,   31
  240,20171106,   40,  105,    2
  240,20171107,   30,   94,    0
  240,20171108,   30,   79,    7
  240,20171109,   70,  120,   44
  240,20171110,  110,  121,   14
  240,20171111,   80,  109,    6
  240,20171112,   60,   77,   40
  240,20171113,   70,  107,    9
  240,20171114,   70,  106,   42
  240,20171115,   50,  110,   50
  240,20171116,   50,  115,   18
  240,20171117,   50,  111,    0
  240,20171118,  100,   98,   33
  240,20171119,   90,  100,   11
  240,20171120,   90,  120,  106
  240,20171121,   90,  127,   43
  240,20171122,  100,  129,   30
  240,20171123,  140,  146,    5
  240,20171124,   50,   96,   60
  240,20171125,   70,   81,    5
  240,20171126,   80,   81,   18
  240,20171127,  110,  103,   82
  240,20171128,   90,   85,   42
  240,20171129,   40,   52,   11
  240,20171130,   30,   46,   59
  240,20171201,   40,   46,    0
  240,20171202,   40,   16,    0
  240,20171203,   50,   89,   41
  240,20171204,   60,   91,   16
  240,20171205,   70,   93,    0
  240,20171206,   90,  102,    0
  240,20171207,  130,   78,   39
  240,20171208,  110,   63,   74
  240,20171209,  110,   58,   64
  240,20171210,   90,   17,  113
  240,20171211,   90,   18,   96
  240,20171212,   80,   50,   13
  240,20171213,   90,   65,   86
  240,20171214,   90,   65,   49
  240,20171215,   50,   45,   15
  240,20171216,   50,   64,   28
  240,20171217,   80,   66,   49
  240,20171218,   80,   82,   16
  240,20171219,   60,   81,    0
  240,20171220,   40,   91,    0
  240,20171221,   40,   91,   25
  240,20171222,   40,   99,   44
  240,20171223,   90,   92,    5
  240,20171224,  110,   96,   12
  240,20171225,  100,   99,    0
  240,20171226,  120,   74,   29
  240,20171227,   90,   70,  124
  240,20171228,  100,   56,    2
  240,20171229,  110,   73,   55
  240,20171230,  140,  118,   56
  240,20171231,  140,  131,  134
  240,20180101,  130,   83,   21
  240,20180102,  100,   94,   69
  240,20180103,  190,  114,   42
  240,20180104,  150,  109,    7
  240,20180105,  100,   79,   11
  240,20180106,   60,   70,    0
  240,20180107,  100,   39,    0
  240,20180108,   80,   35,    0
  240,20180109,   60,   56,    0
  240,20180110,   50,   74,   17
  240,20180111,   30,   73,    0
  240,20180112,   30,   63,    0
  240,20180113,   60,   62,    0
  240,20180114,   60,   51,    0
  240,20180115,  120,   83,  101
  240,20180116,  120,   71,   18
  240,20180117,  140,   64,    2
  240,20180118,  230,  100,   75
  240,20180119,   80,   65,   30
  240,20180120,   50,   37,   35
  240,20180121,   80,   70,   40
  240,20180122,   70,   82,   30
  240,20180123,  100,  112,   39
  240,20180124,  130,  138,   56
  240,20180125,   80,   95,    0
  240,20180126,   40,   85,    8
  240,20180127,  110,   83,   24
  240,20180128,  110,  112,    0
  240,20180129,  130,  111,   20
  240,20180130,   60,   80,    0
  240,20180131,  120,   97,   66
  240,20180201,   90,   64,   48
  240,20180202,  100,   75,   32
  240,20180203,   60,   46,   24
  240,20180204,   90,   44,    0
  240,20180205,   60,   36,    0
  240,20180206,   70,   15,    0
  240,20180207,   30,   27,    0
  240,20180208,   60,   57,    0
  240,20180209,   80,   22,   40
  240,20180210,   90,   65,   23
  240,20180211,  130,   73,   56
  240,20180212,   90,   57,    5
  240,20180213,   90,   62,    0
  240,20180214,  100,   61,    0
  240,20180215,  100,   98,   49
  240,20180216,   70,   79,    0
  240,20180217,   30,   77,    0
  240,20180218,   50,   74,    0
  240,20180219,   50,   32,    0
  240,20180220,   40,   46,    0
  240,20180221,   50,   49,    0
  240,20180222,   70,   45,    0
  240,20180223,   80,   33,    0
  240,20180224,   90,   37,    0
  240,20180225,   80,   14,    0
  240,20180226,   80,    6,    0
  240,20180227,   60,    6,    0
  240,20180228,  100,  -45,    0
  240,20180301,  120,   -9,    0
  240,20180302,  120,    2,    0
  240,20180303,   60,   12,    0
  240,20180304,   80,  107,   39
  240,20180305,   80,  117,    0
  240,20180306,   50,  100,    0
  240,20180307,   60,  111,   20
  240,20180308,  140,   92,   35
  240,20180309,   60,  102,   50
  240,20180310,   70,  148,   70
  240,20180311,   70,  117,   38
  240,20180312,   60,  139,   21
  240,20180313,   70,   87,   61
  240,20180314,   70,  113,    0
  240,20180315,   90,  107,   43
  240,20180316,  100,   63,   10
  240,20180317,  130,    6,    0
  240,20180318,  110,   26,    0
  240,20180319,  100,   39,    0
  240,20180320,   90,   81,    5
  240,20180321,   60,   85,    0
  240,20180322,   80,  100,   45
  240,20180323,   90,   73,    0
  240,20180324,   40,  103,    0
  240,20180325,   50,  114,    0
  240,20180326,   50,  115,    0
  240,20180327,   70,   99,   15
  240,20180328,   70,   77,   98
  240,20180329,   60,  105,   21
  240,20180330,   70,  135,   40
  240,20180331,   30,  114,   12
  240,20180401,   50,   74,   19
  240,20180402,   80,  117,   87
  240,20180403,   90,  170,   53
  240,20180404,   80,  145,   13
  240,20180405,  110,   97,   18
  240,20180406,   90,  149,    0
  240,20180407,   70,  209,    0
  240,20180408,   40,  215,    0
  240,20180409,   60,  145,    6
  240,20180410,   60,  199,    2
  240,20180411,   60,  179,    2
  240,20180412,   80,  129,   13
  240,20180413,   60,  142,    0
  240,20180414,   40,  150,   10
  240,20180415,   50,  175,   52
  240,20180416,   80,  151,    0
  240,20180417,   80,  198,    0
  240,20180418,   50,  234,    0
  240,20180419,   60,  273,    0
  240,20180420,   60,  248,    0
  240,20180421,   50,  203,    0
  240,20180422,   90,  258,    0
  240,20180423,   80,  150,    0
  240,20180424,  100,  151,   14
  240,20180425,  120,  141,   12
  240,20180426,  100,  133,    0
  240,20180427,   60,  147,    4
  240,20180428,   70,  143,    7
  240,20180429,  100,  118,   83
  240,20180430,  110,  114,  119
  240,20180501,  160,  121,   78
  240,20180502,  100,  170,   20
  240,20180503,   50,  143,    0
  240,20180504,   40,  173,    0
  240,20180505,   60,  205,    0
  240,20180506,   40,  250,    0
  240,20180507,   40,  251,    0
  240,20180508,   40,  266,    0
  240,20180509,   60,  231,    0
  240,20180510,   90,  160,   20
  240,20180511,   40,  185,    0
  240,20180512,   50,  228,    0
  240,20180513,   60,  179,   39
  240,20180514,   60,  253,    0
  240,20180515,   60,  238,    0
  240,20180516,   90,  195,    0
  240,20180517,   80,  142,    0
  240,20180518,   60,  138,    0
  240,20180519,   30,  136,    0
  240,20180520,   50,  222,    0
  240,20180521,   60,  249,    0
  240,20180522,   60,  221,   19
  240,20180523,   60,  251,   16
  240,20180524,   60,  229,    0
  240,20180525,   50,  245,    6
  240,20180526,   60,  273,    0
  240,20180527,   60,  252,    0
  240,20180528,   50,  290,    0
  240,20180529,   60,  301,   32
  240,20180530,   40,  264,    0
  240,20180531,   70,  236,   20
  240,20180601,   60,  219,   38
  240,20180602,   60,  189,    0
  240,20180603,   50,  230,    0
  240,20180604,   50,  228,    0
  240,20180605,   60,  202,    0
  240,20180606,   50,  260,    0
  240,20180607,   50,  278,    0
  240,20180608,   40,  208,    1
  240,20180609,   50,  236,    0
  240,20180610,   50,  226,    0
  240,20180611,   60,  217,    0
  240,20180612,   70,  170,    0
  240,20180613,   70,  188,    0
  240,20180614,  110,  202,   14
  240,20180615,   50,  230,    0
  240,20180616,   80,  207,    0
  240,20180617,   70,  189,    0
  240,20180618,   90,  192,   23
  240,20180619,   70,  222,    0
  240,20180620,   90,  237,    0
  240,20180621,  110,  165,    0
  240,20180622,  110,  161,    0
  240,20180623,   50,  189,    0
  240,20180624,   70,  181,    0
  240,20180625,   60,  207,    0
  240,20180626,   50,  217,    0
  240,20180627,   60,  231,    0
  240,20180628,   60,  268,    0
  240,20180629,   60,  263,    0
  240,20180630,   70,  270,    0
  240,20180701,   90,  268,    0
  240,20180702,   80,  254,    0
  240,20180703,   60,  245,    0
  240,20180704,   40,  256,    0
  240,20180705,   50,  223,    0
  240,20180706,   40,  246,    0
  240,20180707,   50,  249,    0
  240,20180708,   60,  243,    0
  240,20180709,   60,  221,    0
  240,20180710,   80,  217,   12
  240,20180711,   80,  229,    0
  240,20180712,   60,  231,    0
  240,20180713,   50,  237,    0
  240,20180714,   50,  243,    0
  240,20180715,   40,  277,    0
  240,20180716,   50,  289,    0
  240,20180717,   80,  240,    0
  240,20180718,   50,  245,    0
  240,20180719,   70,  256,    0
  240,20180720,   60,  254,    0
  240,20180721,   80,  258,    0
  240,20180722,   70,  264,    0
  240,20180723,   40,  289,    0
  240,20180724,   60,  304,    0
  240,20180725,   50,  306,    0
  240,20180726,   40,  348,    0
  240,20180727,   70,  357,    0
  240,20180728,  120,  256,   17
  240,20180729,  100,  269,    0
  240,20180730,   70,  294,    0
  240,20180731,  110,  256,    6
  240,20180801,   40,  260,    0
  240,20180802,   50,  280,    0
  240,20180803,   60,  305,    0
  240,20180804,   80,  279,    0
  240,20180805,   50,  260,    0
  240,20180806,   40,  304,    0
  240,20180807,   70,  337,   10
  240,20180808,  100,  235,   10
  240,20180809,  100,  228,   40
  240,20180810,  100,  220,   62
  240,20180811,   90,  204,    2
  240,20180812,   80,  268,    0
  240,20180813,   70,  227,   15
  240,20180814,   70,  228,    8
  240,20180815,   80,  238,    0
  240,20180816,   80,  219,    9
  240,20180817,   50,  226,    0
  240,20180818,   70,  219,    0
  240,20180819,   90,  237,    0
  240,20180820,   50,  234,    0
  240,20180821,   30,  252,    0
  240,20180822,   60,  247,    0
  240,20180823,   80,  225,   15
  240,20180824,  100,  189,   49
  240,20180825,   80,  180,   75
  240,20180826,  110,  199,   30
  240,20180827,  100,  201,   18
  240,20180828,   40,  218,    0
  240,20180829,   60,  197,   48
  240,20180830,   60,  195,    0
  240,20180831,   40,  188,    0
  240,20180901,   40,  209,    0
  240,20180902,   50,  226,    0
  240,20180903,   50,  229,    0
  240,20180904,   40,  250,    0
  240,20180905,   50,  204,   91
  240,20180906,   50,  185,   53
  240,20180907,   90,  172,   29
  240,20180908,   80,  183,    0
  240,20180909,   80,  226,    0
  240,20180910,   80,  190,    0
  240,20180911,  110,  220,    0
  240,20180912,   60,  183,   22
  240,20180913,   40,  186,    0
  240,20180914,   80,  198,    0
  240,20180915,   70,  193,    0
  240,20180916,   70,  216,    0
  240,20180917,   50,  234,    0
  240,20180918,  110,  236,    0
  240,20180919,  110,  231,    0
  240,20180920,   90,  225,    0
  240,20180921,  130,  198,   28
  240,20180922,   90,  165,   50
  240,20180923,   50,  116,   91
  240,20180924,   80,  157,   11
  240,20180925,   30,  167,    0
  240,20180926,   80,  188,    0
  240,20180927,   60,  210,
  240,20180928,   60,  162,    0
  240,20180929,   30,  160,    0
  240,20180930,   60,  169,    3
  240,20181001,   90,  131,   30
  240,20181002,  100,  169,   51
  240,20181003,   60,  160,    0
  240,20181004,   70,  182,    0
  240,20181005,   50,  202,    0
  240,20181006,   80,  198,   24
  240,20181007,   70,  149,    0
  240,20181008,   70,  167,    0
  240,20181009,   50,  182,    0
  240,20181010,   50,  228,    0
  240,20181011,   70,  222,    6
  240,20181012,   80,  217,    0
  240,20181013,   70,  256,    0
